NodeID,Focused_or_Related,Chinese_Name,English_Name,Pinyin_Name,YOB,YOB_ReferenceA,YOB_ReferenceB,YOB_ReferenceC,YOD,YOD_ReferenceA,YOD_ReferenceB,YOD_ReferenceC,Dialect_Group_Chinese,Dialect_Group_English,Node_Size,Hometown_in_Details_Chinese,Hometown_in_Details_English,Search_by_Place_of_Origin_Chinese,Search_by_Place_of_Origin_English,Search_by_Place_of_Birth_Chinese,Search_by_Place_of_Birth_English,NLB_Link,Reference1,Reference1Link,Reference2_Chinese,Reference2_English,Reference2Link,Reference2_Complete_Index1,Reference2_Short_Index 2
663,Related,王绍善,Nil,Wang Shaoshan,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,闽,Hokkien,1,福建省同安县,"Tong'an County, Fujian Province",福建,Fujian,暂无,Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html,《新华历史人物列传》,http://eresources.nlb.gov.sg/printheritage/detail/de2a46b2-042b-42f5-9551-8ced76823236.aspx,暂无,Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html,Nil,Nil
664,Related,王绍贤,Nil,Wang Shaoxian,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,闽,Hokkien,1,福建省同安县,"Tong'an County, Fujian Province",福建,Fujian,暂无,Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html,《新华历史人物列传》,http://eresources.nlb.gov.sg/printheritage/detail/de2a46b2-042b-42f5-9551-8ced76823236.aspx,暂无,Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html,Nil,Nil
665,Related,伍玉玲,Nil,Wu Yuling,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,粤,Canton,1,广东省台山县,"Taishan County, Guangdong Province",广东,Guangdong,暂无,Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html,《新华历史人物列传》,http://eresources.nlb.gov.sg/printheritage/detail/de2a46b2-042b-42f5-9551-8ced76823236.aspx,暂无,Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html,Nil,Nil
666,Related,王会仪,Nil,Wang Huiyi,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,闽,Hokkien,1,福建,Fujian,福建,Fujian,暂无,Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html,《新华历史人物列传》,http://eresources.nlb.gov.sg/printheritage/detail/de2a46b2-042b-42f5-9551-8ced76823236.aspx,暂无,Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html,Nil,Nil
667,Related,吴士基,Nil,Wu Shiji,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,闽,Hokkien,1,福建省诏安县,"Chun'an County, Fujian Province",福建,Fujian,暂无,Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html,《新华历史人物列传》,http://eresources.nlb.gov.sg/printheritage/detail/de2a46b2-042b-42f5-9551-8ced76823236.aspx,暂无,Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html,Nil,Nil
668,Related,慈禧太后,Nil,Cixi Taihou,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,暂无,Nil,1,暂无,Nil,暂无,Nil,暂无,Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html,《新华历史人物列传》,http://eresources.nlb.gov.sg/printheritage/detail/de2a46b2-042b-42f5-9551-8ced76823236.aspx,暂无,Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html,Nil,Nil
669,Related,曾兆南,Nil,Zeng Zhaonan,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,潮,Teochew,1,广东省潮州,"Chaozhou, Guangdong Province",广东,Guangdong,暂无,Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html,《新华历史人物列传》,http://eresources.nlb.gov.sg/printheritage/detail/de2a46b2-042b-42f5-9551-8ced76823236.aspx,暂无,Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html,Nil,Nil
670,Related,徐敦青,Nil,Xu Dunqing,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,暂无,Nil,1,暂无,Nil,暂无,Nil,暂无,Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html,《新华历史人物列传》,http://eresources.nlb.gov.sg/printheritage/detail/de2a46b2-042b-42f5-9551-8ced76823236.aspx,暂无,Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html,Nil,Nil
671,Related,朱善锦,Nil,Zhu Shanjin,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,暂无,Nil,1,暂无,Nil,暂无,Nil,暂无,Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html,《新华历史人物列传》,http://eresources.nlb.gov.sg/printheritage/detail/de2a46b2-042b-42f5-9551-8ced76823236.aspx,暂无,Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html,Nil,Nil
672,Related,蔡心义,Nil,Cai Xinyi,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,暂无,Nil,1,暂无,Nil,暂无,Nil,暂无,Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html,《新华历史人物列传》,http://eresources.nlb.gov.sg/printheritage/detail/de2a46b2-042b-42f5-9551-8ced76823236.aspx,暂无,Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html,Nil,Nil
